Freq	Wavenum	WaveR		
1247.61	999.9885585	98.85585049	98	85.585049
1251.22	999.9858726	98.58726056	98	58.726056
1254.84	999.9819356	98.1935569	98	19.35569
1258.46	999.97682	97.68199866	97	68.199866
1262.07	999.9706546	97.0654593	97	6.54593
1265.69	999.9636478	96.36478289	96	36.478289
1269.31	999.956101	95.61009515	95	61.009515
1272.92	999.9484054	94.84054338	94	84.054338
1276.54	999.9410214	94.10213791	94	10.213791
1280.16	999.9344413	93.4441328	93	44.41328
1283.77	999.9291415	92.91414877	92	91.414877
1287.39	999.9255083	92.55082806	92	55.082806
1291.01	999.923823	92.3823042	92	38.23042
1294.62	999.9241993	92.41992851	92	41.992851
1298.24	999.9265779	92.65779452	92	65.779452
1301.86	999.9307369	93.07369262	93	7.369262
1305.47	999.9363229	93.6322877	93	63.22877
1309.09	999.9428972	94.28972411	94	28.972411
1312.71	999.9499892	94.99892078	94	99.892078
1316.32	999.9571459	95.71459192	95	71.459192
1319.94	999.9639728	96.39727932	96	39.727932
1323.56	999.9701598	97.01597502	97	1.597502
1327.17	999.9754926	97.54925792	97	54.925792
1330.79	999.9798516	97.98515797	97	98.515797
1334.41	999.9832014	98.32013784	98	32.013784
1338.03	999.9855762	98.55762217	98	55.762217
1341.64	999.9870643	98.70643161	98	70.643161
1345.26	999.9877934	98.77933989	98	77.933989
1348.88	999.9879182	98.79182339	98	79.182339
1352.49	999.9876095	98.76094976	98	76.094976
1356.11	999.9870431	98.70431493	98	70.431493
1359.73	999.986391	98.63910281	98	63.910281
1363.34	999.9858081	98.58081164	98	58.081164
1366.96	999.985423	98.54230102	98	54.230102
1370.58	999.9853286	98.53285638	98	53.285638
1374.19	999.9855758	98.55757933	98	55.757933
1377.81	999.986172	98.61719882	98	61.719882
1381.43	999.9870836	98.70835644	98	70.835644
1385.04	999.9882433	98.82433262	98	82.433262
1388.66	999.9895629	98.95629284	98	95.629284
1392.28	999.9909361	99.09360937	99	9.360937
1395.89	999.9922659	99.22658857	99	22.658857
1399.51	999.9934623	99.34622799	99	34.622799
1403.13	999.9944535	99.44534808	99	44.534808
1406.74	999.9951901	99.5190091	99	51.90091
1410.36	999.9956466	99.56466028	99	56.466028
1413.98	999.995821	99.58210113	99	58.210113
1417.6	999.9957321	99.5732117	99	57.32117
1421.21	999.9954181	99.54180751	99	54.180751
1424.83	999.994932	99.49320005	99	49.320005
1428.45	999.9943382	99.43382348	99	43.382348
1432.06	999.9937076	99.37076079	99	37.076079
1435.68	999.9931103	99.31103041	99	31.103041
1439.3	999.9926145	99.26144904	99	26.144904
1442.91	999.9922742	99.22741958	99	22.741958
1446.53	999.9921272	99.21271908	99	21.271908
1450.15	999.9921902	99.21902124	99	21.902124
1453.76	999.992457	99.24570291	99	24.570291
1457.38	999.9928989	99.28988523	99	28.988523
1461	999.9934669	99.34668934	99	34.668934
1464.61	999.9940965	99.4096463	99	40.96463
1468.23	999.9947122	99.47122156	99	47.122156
1471.85	999.995231	99.52309879	99	52.309879
1475.46	999.9955694	99.55693719	99	55.693719
1479.08	999.9956446	99.56446477	99	56.446477
1482.7	999.9953791	99.53791449	99	53.791449
1486.31	999.9947043	99.47042946	99	47.042946
1489.93	999.993566	99.35660081	99	35.660081
1493.55	999.9919317	99.19317451	99	19.317451
1497.17	999.9897989	98.97989479	98	97.989479
1500.78	999.9872037	98.72036709	98	72.036709
1504.4	999.9842275	98.42274705	98	42.274705
1508.02	999.9810002	98.10002255	98	10.002255
1511.63	999.9776967	97.76967467	97	76.967467
1515.25	999.9745259	97.45259007	97	45.259007
1518.87	999.9717117	97.17116781	97	17.116781
1522.48	999.9694711	96.94711033	96	94.711033
1526.1	999.9679874	96.79874158	96	79.874158
1529.72	999.9673859	96.7385904	96	73.85904
1533.33	999.9677177	96.77176743	96	77.176743
1536.95	999.968952	96.89520085	96	89.520085
1540.57	999.9709787	97.09786996	97	9.786996
1544.18	999.9736251	97.3625052	97	36.25052
1547.8	999.9766752	97.66752293	97	66.752293
1551.42	999.9798946	97.98945894	97	98.945894
1555.03	999.9830542	98.30542126	98	30.542126
1558.65	999.9859497	98.59496712	98	59.496712
1562.27	999.988413	98.84129679	98	84.129679
1565.88	999.990317	99.0316986	99	3.16986
1569.5	999.9915735	99.15735383	99	15.735383
1573.12	999.9921272	99.21271883	99	21.271883
1576.74	999.9919474	99.19474378	99	19.474378
1580.35	999.9910217	99.10216661	99	10.216661
1583.97	999.9893505	98.93505466	98	93.505466
1587.59	999.9869468	98.69468187	98	69.468187
1591.2	999.9838375	98.38374682	98	38.374682
1594.82	999.9800687	98.00687104	98	0.687104
1598.44	999.9757127	97.57127116	97	57.127116
1602.05	999.9708747	97.08746776	97	8.746776
1605.67	999.9656987	96.5698729	96	56.98729
1609.29	999.9603708	96.03708461	96	3.708461
1612.9	999.9551172	95.51171671	95	51.171671
1616.52	999.9501962	95.0196196	95	1.96196
1620.14	999.9458841	94.58841418	94	58.841418
1623.75	999.9424537	94.24537339	94	24.537339
1627.37	999.9401492	94.01492328	94	1.492328
1630.99	999.9391548	93.91548175	93	91.548175
1634.6	999.9395774	93.95774491	93	95.774491
1638.22	999.9414239	94.14238798	94	14.238798
1641.84	999.9445968	94.45967612	94	45.967612
1645.45	999.948902	94.89019732	94	89.019732
1649.07	999.9540687	95.40686519	95	40.686519
1652.69	999.9597789	95.97789182	95	97.789182
1656.3	999.9657024	96.57024444	96	57.024444
1659.92	999.9715302	97.1530221	97	15.30221
1663.54	999.9770024	97.70023677	97	70.023677
1667.16	999.9819264	98.19263806	98	19.263806
1670.77	999.9861843	98.61843466	98	61.843466
1674.39	999.9897298	98.97298241	98	97.298241
1678.01	999.9925768	99.25767669	99	25.767669
1681.62	999.9947838	99.478377	99	47.8377
1685.24	999.996437	99.64369826	99	64.369826
1688.86	999.9976344	99.76344399	99	76.344399
1692.47	999.9984736	99.84735975	99	84.735975
1696.09	999.9990428	99.9042821	99	90.42821
1699.71	999.9994167	99.94167145	99	94.167145
1703.32	999.9996546	99.9654608	99	96.54608
1706.94	999.9998017	99.98017462	99	98.017462
1710.56	999.9998893	99.98893244	99	98.893244
1714.17	999.9999398	99.99398403	99	99.398403
1717.79	999.9999682	99.99682313	99	99.682313
1721.41	999.9999837	99.9983702	99	99.83702
1725.02	999.9999919	99.99918772	99	99.918772
1728.64	999.9999961	99.9996067	99	99.96067
1732.26	999.9999989	99.99989477	99	99.989477
1735.87	1000	100	100	0
1739.49	1000	100	100	0
1743.11	1000	100	100	0
1746.73	1000	100	100	0
1750.34	1000	100	100	0
1753.96	1000	100	100	0
